AccountOID,ConsumptionDate,Consumption
32383,2020-12-30,0.000
107142,2020-12-05,0.321
136482,2020-04-16,0.571
32053,2020-09-21,241.864
136482,2019-10-02,0.336
55005,2020-11-05,0.880
33804,2019-05-05,0.415
112490,2019-10-01,0.519
13537,2020-10-13,1.422
245344,2019-12-23,0.052
150998,2021-01-15,0.850
250004,2020-01-16,64.000
33447,2019-04-27,1.047
39681,2019-08-28,0.196
255456,2019-04-22,1.240
283681,2020-12-13,3.168
262645,2020-02-15,4.520
65583,2021-01-13,0.503
139516,2019-10-28,51.205
258924,2019-12-06,0.169
56796,2019-02-28,1.245
33447,2020-07-24,0.781
59449,2020-10-12,1.574
123533,2019-06-08,0.186
3941,2020-11-19,0.024
248365,2021-03-23,1.870
16581,2019-01-22,0.920
97105,2019-09-27,0.664
247568,2019-01-17,0.918
97302,2019-08-23,0.168
7038,2019-01-27,0.364
250781,2020-10-12,0.043
20753,2019-12-02,0.165
150998,2019-02-08,0.713
5493,2019-07-23,0.000
250781,2020-11-16,0.046
107431,2019-04-26,0.000
262645,2020-07-05,1.621
6564,2020-03-09,0.000
123533,2020-05-20,0.356
178474,2020-06-12,0.034
131327,2019-06-20,1.076
102613,2021-02-13,0.000
190642,2019-10-25,0.517
15898,2020-08-25,0.407
250022,2019-12-05,1088.500
248098,2020-06-10,0.095
20342,2019-06-22,1.779
16581,2019-06-20,0.046
247000,2021-02-24,1.395
244858,2019-01-14,2.943
2809,2020-09-09,0.320
250197,2020-05-28,4.104
6564,2019-01-28,0.202
16581,2020-03-15,0.254
246066,2020-02-27,24.320
245958,2021-01-29,0.550
16129,2020-02-17,0.142
179922,2019-07-20,0.331
44788,2019-10-30,0.748
256156,2019-12-10,2.760
248224,2020-07-10,2.325
244680,2019-02-26,2.423
5493,2020-03-26,0.000
33804,2018-12-15,1.221
256766,2020-05-08,1.186
245302,2020-05-29,1.471
261986,2020-02-26,0.286
277704,2020-02-14,0.267
10481,2020-11-03,0.851
249971,2021-02-20,450.000
179922,2019-09-28,0.273
256508,2019-01-12,0.000
39681,2020-06-01,0.245
263528,2018-12-15,1.864
245105,2019-03-07,44.020
139515,2020-11-10,0.946
250855,2020-02-24,0.671
250020,2020-07-06,470.200
251704,2020-01-29,0.676
20342,2020-03-13,1.375
142606,2021-02-09,1.086
264362,2020-08-23,2.295
13964,2020-01-17,1.230
72055,2020-10-04,0.647
42923,2019-09-24,0.914
248128,2020-07-06,0.348
260417,2020-05-21,0.950
69535,2020-11-30,1.121
249860,2021-03-08,3.039
131327,2020-11-24,0.000
256971,2020-06-08,0.037
5802,2020-09-22,0.260
97105,2019-05-19,1.100
106646,2019-08-22,0.584
269752,2021-01-15,0.488
247568,2020-05-29,0.622
85008,2020-01-31,0.269
245344,2020-01-05,0.004
263528,2019-04-19,1.569
274411,2019-09-03,0.183
150462,2020-04-14,0.191
244391,2020-07-13,1.102
261517,2020-01-14,0.000
16129,2020-11-12,0.332
69535,2021-01-23,1.418
107431,2019-04-16,40.409
255813,2021-02-23,6.298
244680,2020-04-21,16.666
244424,2019-07-01,3.150
136212,2020-07-03,0.959
5802,2019-06-25,0.232
248917,2019-03-31,12.648
69535,2020-12-22,1.029
24294,2019-03-28,0.668
6557,2020-06-04,0.193
190642,2020-10-08,0.398
247568,2020-04-27,0.718
3592,2020-01-27,0.000
253208,2020-06-18,0.456
250781,2019-06-02,0.001
80569,2020-02-21,0.000
256959,2020-05-28,0.030
249971,2019-04-05,6.150
249397,2021-02-11,7.850
139514,2019-10-24,0.827
244680,2020-03-30,3.385
9953,2020-10-03,0.274
255086,2021-02-24,0.052
273259,2020-08-14,0.530
13784,2021-02-24,1.697
256766,2020-01-11,5.374
260726,2020-01-06,0.001
10065,2019-07-30,1.422
16581,2019-01-13,0.842
256972,2018-12-06,0.270
246596,2019-09-18,0.459
